Role,Synonyms,Skills
Admin Big Data,Administrator Big Data|Manager Data|Big Data Admin|Manager Big Data|Admin Data|Administrator Data,Hadoop|Spark|MapReduce|Data Lakes|Data Warehousing|Big Data Architecture|NoSQL|Data Modeling|ETL|Cloud Computing|AWS|Azure|Data Governance|Security
Ansible Operations Engineer,Ansible Operations Specialist|Ansible Operations Programmer|Ansible Ops Engineer|Ansible Ops Developer|Ansible Ops Programmer|Ansible Operations Developer|Ansible Ops Specialist,Ansible|Linux|Automation|Cloud Platforms|CI/CD|Infrastructure as Code|Kubernetes|Docker|AWS|Terraform|Python|Scripting|Networking
Artifactory Administrator,Artifactory Administratoristrator|Artifactory Ops|Artifactory Admin|Artifactory Manager|Artifactory Manageristrator,Artifactory|CI/CD|Jenkins|Docker|Maven|Gradle|Build Automation|Version Control|Git|Cloud Computing|Linux|JFrog CLI
Artificial Intelligence / Machine Learning Leader,AI / ML Manager|AI / ML Head|Artificial Intelligence / Machine Learning Manager|Artificial Intelligence / Machine Learning Head|AI / ML Leader,AI Strategy|Machine Learning|Team Management|Project Management|Cloud Computing|Data Science|Deep Learning|Communication|Budgeting|Stakeholder Management
Artificial Intelligence / Machine Learning Sr.Leader,Artificial Intelligence / Machine Learning Sr.Manager|AI / ML Sr.Manager|AI / ML Sr.Head|Artificial Intelligence / Machine Learning Sr.Head|AI / ML Sr.Leader,AI Strategy|Machine Learning|Team Management|Project Management|Cloud Computing|Data Science|Deep Learning|Communication|Budgeting|Stakeholder Management|Innovation|Mentoring
Artificial intelligence Architect,Artificial intelligence Lead|AI Designer|AI Lead|Artificial intelligence Designer|AI Strategist|Artificial intelligence Strategist|AI Architect,AI Architecture|Machine Learning|Cloud Computing|Data Science|Deep Learning|System Design|AWS|Azure|Scalability|Security|Model Deployment
Artificial Intelligence Researcher,AI Researcher,Machine Learning|Deep Learning|Research Methods|Python|TensorFlow|PyTorch|Data Analysis|Statistical Analysis|Algorithm Design|Scientific Writing
Big Data Architect,Data Designer|Data Strategist|Big Data Lead|Data Lead|Big Data Strategist|Big Data Designer|Data Architect,Hadoop|Spark|Kafka|MapReduce|NoSQL|Data Warehousing|Cloud Computing|AWS|Azure|Data Lakes|Data Modeling|ETL|Data Governance|Security
Big Data Engineer,Big Data Developer|Data Engineer|Data Developer|Data Specialist|Data Programmer|Big Data Programmer|Big Data Specialist,Hadoop|Spark|Kafka|SQL|NoSQL|Python|Java|Scala|Data Pipelines|ETL|Data Warehousing|Cloud Computing
Big Data Specialist,Data Specialist,Hadoop|Spark|Data Analysis|Data Visualization|SQL|NoSQL|Data Modeling|ETL|Cloud Computing|Data Mining|Statistical Analysis
Build and Release Engineer,Build and Release Programmer|Build and Release Specialist|Build and Release Developer,CI/CD|Jenkins|Git|Maven|Gradle|Docker|Kubernetes|Automation|Scripting|Linux|Build Tools
Build Engineer,Build Developer|Build Specialist|Build Programmer,Maven|Gradle|Ant|Jenkins|CI/CD|Git|Build Automation|Scripting|Linux|Version Control
Chef Operations Engineer,Chef Operations Developer|Chef Operations Specialist|Chef Ops Specialist|Chef Ops Engineer|Chef Ops Programmer|Chef Operations Programmer|Chef Ops Developer,Chef|Ruby|Automation|Configuration Management|Linux|Cloud Computing|AWS|Azure|Infrastructure as Code
Data Analysts,Data Specialists|Data Consultants,SQL|Excel|Data Visualization|Power BI|Python|R|Statistics|Data Mining|Data Cleansing|Tableau|ETL|Data Modeling
Data Architect,Data Designer|Data Lead|Data Strategist,Data Modeling|Data Warehousing|ETL|SQL|NoSQL|Data Governance|Cloud Computing|AWS|Azure|Data Integration|Data Security
DevOps Architect,DevOps Lead|DevOps Strategist|DevOps Designer,Cloud Computing|AWS|Azure|Google Cloud|Docker|Kubernetes|Terraform|Ansible|CI/CD|Automation|Security|Networking
DevOps Engineer,DevOps Specialist|DevOps Programmer|DevOps Developer,Docker|Kubernetes|CI/CD|AWS|Azure|Linux|Terraform|Ansible|Jenkins|Git|Automation|Networking|Python|Scripting|Cloud Computing
ELK Engineer,ELK Developer|ELK Programmer|ELK Specialist,Elasticsearch|Logstash|Kibana|Data Visualization|Log Management|Linux|AWS|Azure|Networking|Security
Gerrit Administrator,Gerrit Manager|Gerrit Administratoristrator|Gerrit Manageristrator|Gerrit Ops|Gerrit Admin,Gerrit|Git|Code Review|Linux|Automation|Scripting|Version Control
Jenkins Engineer,Jenkins Specialist|Jenkins Developer|Jenkins Programmer,Jenkins|CI/CD|Automation|Groovy|Scripting|Linux|Docker|Kubernetes|Build Automation|Version Control
Jira Administrator,Jira Administratoristrator|Jira Manager|Jira Manageristrator|Jira Ops|Jira Admin,Jira|Atlassian Suite|Agile Methodologies|Workflow Configuration|User Management|Project Management
Kubernetes Operations Engineer,Kubernetes Ops Programmer|Kubernetes Operations Programmer|Kubernetes Ops Developer|Kubernetes Operations Specialist|Kubernetes Ops Engineer|Kubernetes Ops Specialist|Kubernetes Operations Developer,Kubernetes|Docker|Linux|Cloud Computing|AWS|Azure|Networking|CI/CD|Automation|Security
Machine learning Architect,Machine learning Strategist|ML Strategist|ML Lead|Machine learning Lead|Machine learning Designer|ML Architect|ML Designer,Machine Learning|Deep Learning|Cloud Computing|Data Science|System Design|AWS|Azure|Scalability|Security|Model Deployment
