Company,Synonyms,Industry
Tata Consultancy Services,TCS|Tata|TCS Limited|Tata Consultancy|TCS India,IT Services
Infosys,Infy|Infosys Limited|Infosys Technologies|INFY|Infosys Ltd,IT Services
Wipro,Wipro Limited|Wipro Technologies|Wipro India|WIPRO,IT Services
HCLTech,HCL|HCL Technologies|HCLTech Limited|HCLT|HCL Infosystems,IT Services
Tech Mahindra,TechM|Tech Mahindra Limited|Mahindra Satyam|TechM India,IT Services
Cognizant,CTS|Cognizant Technology Solutions|Cognizant India|COG,IT Services
Capgemini,Capgemini India|Capgemini Technology Services|Capgemini Engineering,IT Services
Accenture,Accenture India|Accenture Solutions|Accenture Consulting|ACN,Consulting
IBM,IBM India|IBM Global Services|IBMer|Big Blue|IBM GBS,Technology
Mindtree,Mindtree Limited|Mindtree India|LTIMindtree,IT Services
LTI,Larsen & Toubro Infotech|L&T Infotech|LTIM|LTIMindtree,IT Services
LTIMindtree,LTI Mindtree|LTIM|Mindtree LTI|LTIMindtree Limited,IT Services
Google,Google India|Google LLC|Alphabet|Goog|Google Cloud,Technology
Microsoft,Microsoft India|MS|MSFT|Microsoft Corporation|MS India,Technology
Amazon,AWS|Amazon India|Amazon Development Centre|Amazon Web Services|AMZN,Technology
Meta,Meta India|Facebook India|Facebook|Instagram|FB|Meta Platforms,Technology
Apple,Apple India|Apple Inc|AAPL|Apple Services,Technology
Netflix,Netflix India|Netflix Technology|Netflix Services,Technology
Adobe,Adobe India|Adobe Systems|ADBE|Adobe Experience Cloud,Technology
Salesforce,Salesforce India|Salesforce.com|CRM|SFDC|Salesforce Cloud,Technology
Oracle,Oracle India|Oracle Financial Services|OFSS|Oracle Cloud|OCI,Technology
SAP,SAP Labs India|SAP India|SAP SE|SAP Concur,Technology
Intel,Intel India|Intel Technology|INTC|Intel Foundry,Technology
NVIDIA,NVIDIA India|NVDA|Nvidia GeForce,Technology
AMD,AMD India|Advanced Micro Devices|Radeon,Technology
Cisco,Cisco India|Cisco Systems|CSCO|Webex|Meraki,Technology
Dell,Dell India|Dell Technologies|DELL|Dell EMC,Technology
HP,HP India|Hewlett Packard|HPE|Hewlett Packard Enterprise,Technology
Lenovo,Lenovo India|Motorola|ThinkPad,Technology
Samsung,Samsung India|Samsung R&D|Samsung Electronics,Technology
Qualcomm,Qualcomm India|QCOM|Snapdragon,Technology
Broadcom,Broadcom India|VMware|Symantec,Technology
Texas Instruments,TI India|Texas Instruments India,Semiconductors
Flipkart,Flipkart India|Walmart India|Flipkart Internet|Flipkart Group,E-commerce
Myntra,Myntra Designs|Myntra India|Myntra Jabong,E-commerce
Swiggy,Bundl Technologies|Swiggy India|Swiggy Instamart,Food Tech
Zomato,Zomato Limited|Zomato India|ZOMATO|Blinkit,Food Tech
Blinkit,Blink Commerce|Blinkit India|Grofers|Zomato Blinkit,Food Tech
Zepto,KiranaKart|Zepto India|10-minute delivery,Food Tech
Paytm,One97 Communications|Paytm Mall|Paytm Payments Bank|Paytm Labs,Fintech
PhonePe,PhonePe India|PhonePe Private Limited|PhonePe UPI,Fintech
Razorpay,Razorpay Software|RazorpayX|Razorpay Capital,Fintech
CRED,Dreamplug Technologies|CRED India|CRED Rewards,Fintech
BharatPe,BharatPe India|BharatPe Merchant,Fintech
CredAvenue,Yubi|CredAvenue India|VIVRITI,Fintech
Reliance Jio,Jio|Jio Platforms|Reliance Jio Infocomm|JioFiber,Telecom
Airtel,Bharti Airtel|Airtel India|Bharti|Airtel Payments Bank,Telecom
Vodafone Idea,Vi|Vodafone Idea Limited|Idea|Vodafone India,Telecom
Ola,ANI Technologies|Ola Cabs|Ola Electric|Ola Foods,Mobility
Uber,Uber India|Uber Technologies|Uber Eats,Mobility
